ENT_DT_MOVTO;ENT_NR_LOTE;ENT_NR_INST;ENT_CD_CONV;ENT_NR_CPFCNPJ;ENT_NM_CONV;ENT_NM_CONVR;ENT_NM_END;ENT_NR_END;ENT_DS_COMPL;ENT_NM_BAIRRO;ENT_NM_CIDADE;ENT_SG_ESTADO;ENT_CD_PAIS;ENT_NR_CEP;ENT_NR_DDD;ENT_NR_TEL;ENT_NR_DDDCEL;ENT_NR_CEL;ENT_NR_DDDFAX;ENT_NR_FAX;ENT_NM_EMAIL;ENT_CD_INSTAN;ENT_CD_PODER;ENT_CD_INSAUT;ENT_TP_CLACV;ENT_TP_CONV;ENT_NR_DIACT;ENT_NR_DIAVCT;ENT_QT_CAREN;ENT_TP_DIAVCT;ENT_ID_CRBANC;ENT_NR_BANCO;ENT_NR_AGENC;ENT_NR_CONTA
20251117;1;1414;1;3,87729E+12;SENFFNET LTDA;SENFFNET;AV SENADOR SOUZA NAVES, 1240;;LOJA 2 E 3;CRISTO REI;CURITIBA;PR;;80050152;;;;;;;;;;;C;;20;31;;;;;;
20251117;1;1414;2;8,03924E+13;J PROLAB IND E COM DE PROD LAB LTDA;J PROLAB;AV ROCHA POMBO, 2414;;;SUBDIVISÃƒO SENEGAGLI;SÃƒO JOSÃ‰ DOS PINHAIS;PR;;83010620;;;;;;;;;;;C;;21;31;;;;;;
20251117;1;1414;3;7,61055E+13;MUNICÃPIO DE ARAUCÃRIA ;PREF ARAUCÃRIA;RUA PEDRO DRUSZCZ, 111;;;CENTRO;ARAUCÃRIA;PR;;83702080;;;;;;;;;;;C;;11;25;;;;;;
20251117;1;1414;4;7,70716E+13;GOVERNO DO PARANÃ;GOV PARANÃ;RUA JACI LOUREIRO CAMPOS, SN;;PALACIO AR;CENTRO CIVICO;CURITIBA;PR;;80530140;;;;;;;;;;;C;;6;20;;;;;;
20251117;1;1414;5;8,31696E+13;MUNICIPIO DE JOINVILLE;PREF JOINVILLE;Av. Hermann August Lepper, 10;;;Centro;Joinville;SC;;89221005;;;;;;;;;;;C;;16;15;;;;;;
20251117;1;1414;6;9,5423E+13;MUNICIPIO DE FAZENDA RIO GRANDE;PREF FAZENDA;RUA JACARANDÃ, 300;;;NAÃ‡Ã•ES;FAZENDA RIO GRANDE;PR;;83823901;;;;;;;;;;;C;;1;21;;;;;;
20251117;1;1414;7;7,81736E+13;SÃƒO JOSÃ‰ DOS PINHAIS CAMARA MUNICIPAL;CAMARA SJP;RUA VERISSIMO MARQUES, 699;;;CENTRO;SÃƒO JOSÃ‰ DOS PINHAIS;PR;;83005410;;;;;;;;;;;C;;10;20;;;;;;
20251117;1;1414;8;3,16561E+12;PARANA PREVIDENCIA;PARANÃ PREV;RUA INACIO LUSTOSA, 700;;;SÃƒO FRANCISCO;CURITIBA;PR;;82590300;;;;;;;;;;;C;;6;31;;;;;;
20251117;1;1414;9;7,60215E+13;MUNICIPIO DE SAO MATEUS DO SUL ;PREF SAO MATEUS;RUA BARAO DO RIO BRANCO, 431;;;CENTRO ;SAO MATEUS DO SUL ;PR;;83900000;;;;;;;;;;;C;;11;22;;;;;;
20251117;1;1414;10;7,61759E+13;MUNICIPIO DE PONTA GROSSA;PREF PONTA GROS;AVENIDA VISCONDE DE TAUNAY, 950;;;CENTRO;PONTA GROSSA;PR;;84051000;;;;;;;;;;;C;;6;21;;;;;;
20251117;1;1414;11;8,47032E+13;HOSPITAL MUNICIPAL SAO JOSE;HOSP SAO JOSE;AV. GETULIO VARGAS, 238;;;CENTRO;JOINVILLE;SC;;89202000;;;;;;;;;;;C;;16;21;;;;;;
20251117;1;1414;12;7,62827E+13;MUNICIPIO DE MARINGA;PREF MARINGA;AV XV DE NOVEMBRO, 701;;;CENTRO;MARINGA / PR;PR;;87013230;;;;;;;;;;;C;;11;21;;;;;;
20251117;1;1414;13;7,80748E+13;MARINGA PREVIDENCIA;PREV MARINGA;AV. CARNEIRO LEAO, 135;;;CENTRO;MARINGA / PR;PR;;87013932;;;;;;;;;;;C;;2;21;;;;;;
20251117;1;1414;14;8,42316E+12;SMART GRAF IND GRAFICA E EDITORA LTDA;SMARTGRAF;RUA GOIÃ‚NIA, 109;;;CAJURU;CURITIBA;PR;;82940150;;;;;;;;;;;C;;6;10;;;;;;
20251117;1;1414;15;7,86405E+13;UNIVERSIDADE ESTADUAL DE LONDRINA;UNIV LONDRINA;ROD CELSO GARCIA CID (PR445);;KM 380;;LONDRINA;PR;;86057970;;;;;;;;;;;C;;31;21;;;;;;
