ENT_DT_MOVTO;ENT_NR_LOTE;ENT_NR_INST;ENT_NR_AGEN;ENT_NR_CTRTER;ENT_NR_PL;ENT_DT_PL;ENT_ST_PL;ENT_DT_LBNDES;ENT_VL_SOLIC;ENT_VL_LIBER;ENT_ID_TIPIOF;ENT_VL_IOF;ENT_ID_CONCES;ENT_VL_CONCES;ENT_ID_OUTVLR;ENT_VL_OUTVLR;ENT_NR_BANCO;ENT_NR_AGENC;ENT_NR_CONTA
20260215;1;1414;19;1000105;1;20181221;5;20181221;10000;10268.29;F;268.29;F;0;F;0;;;
20260215;1;1414;19;1000126;1;20190111;5;20190111;3700.72;3813.5;F;112.78;F;0;F;0;;;
20260215;1;1414;19;1000140;1;20190121;5;20190121;11093.09;11429.32;F;336.23;F;0;F;0;;;
20260215;1;1414;19;1000214;1;20190312;5;20190312;3000;3076.62;F;76.62;F;0;F;0;;;
20260215;1;1414;19;1000225;1;20190319;5;20190319;7544.09;7734.98;F;190.89;F;0;F;0;;;
20260215;1;1414;19;1000280;1;20190408;5;20190408;7500;7725.31;F;225.31;F;0;F;0;;;
20260215;1;1414;19;1000387;1;20190508;5;20190508;13203.72;13612.19;F;408.47;F;0;F;0;;;
20260215;1;1414;19;1000414;1;20190515;5;20190515;14000;14429.76;F;429.76;F;0;F;0;;;
20260215;1;1414;19;1000422;1;20190516;5;20190516;1539.53;1587.32;F;47.79;F;0;F;0;;;
20260215;1;1414;19;1000470;1;20190605;5;20190605;6000;6155.21;F;155.21;F;0;F;0;;;
20260215;1;1414;19;1000567;1;20190704;5;20190704;4000;4095.87;F;95.87;F;0;F;0;;;
20260215;1;1414;19;1000652;1;20190726;5;20190726;10568;10889.51;F;321.51;F;0;F;0;;;
20260215;1;1414;19;1000701;1;20190809;5;20190809;2857.65;2944.89;F;87.24;F;0;F;0;;;
20260215;1;1414;19;1000736;1;20190816;5;20190816;3739.98;3810.48;F;70.5;F;0;F;0;;;
20260215;1;1414;19;1000773;1;20190823;5;20190823;15065.18;15533.22;F;468.04;F;0;F;0;;;
20260215;1;1414;19;1000800;1;20190830;5;20190830;5097.26;5254.76;F;157.5;F;0;F;0;;;
20260215;1;1414;19;1000831;1;20190904;5;20190904;9302;9513.85;F;211.85;F;0;F;0;;;
20260215;1;1414;19;1000871;1;20190911;5;20190911;2000;2047.43;F;47.43;F;0;F;0;;;
20260215;1;1414;19;1000892;1;20190913;5;20190913;1047.04;1078.84;F;31.8;F;0;F;0;;;
20260215;1;1414;19;1000895;1;20190916;5;20190916;5000;5106.62;F;106.62;F;0;F;0;;;
20260215;1;1414;19;1000915;1;20190918;5;20190918;8397.79;8593.1;F;195.31;F;0;F;0;;;
20260215;1;1414;19;1000986;1;20191002;5;20191002;7000;7213.4;F;213.4;F;0;F;0;;;
20260215;1;1414;19;1000990;1;20191003;5;20191003;6915.43;7097.98;F;182.55;F;0;F;0;;;
20260215;1;1414;19;1001016;1;20191008;5;20191008;1007.74;1039.13;F;31.39;F;0;F;0;;;
20260215;1;1414;19;1001045;1;20191014;5;20191014;3886.54;3970.15;F;83.61;F;0;F;0;;;
20260215;1;1414;19;1001079;1;20191018;5;20191018;1000;1022.59;F;22.59;F;0;F;0;;;
20260215;1;1414;19;1001107;1;20191023;5;20191023;1082.72;1116.13;F;33.41;F;0;F;0;;;
20260215;1;1414;19;1001144;1;20191031;5;20191031;16910.59;17440.24;F;529.65;F;0;F;0;;;
20260215;1;1414;19;1001149;1;20191031;5;20191031;45000;46302.57;F;1302.57;F;0;F;0;;;
20260215;1;1414;19;1001184;1;20191106;5;20191106;1277.34;1316.15;F;38.81;F;0;F;0;;;
20260215;1;1414;19;1001188;1;20191105;5;20191105;2000;2053.54;F;53.54;F;0;F;0;;;
20260215;1;1414;19;1001198;1;20191106;5;20191106;4038.8;4161.93;F;123.13;F;0;F;0;;;
20260215;1;1414;19;1001200;1;20191107;5;20191107;7864.49;8069.64;F;205.15;F;0;F;0;;;
20260215;1;1414;19;1001218;1;20191108;5;20191108;8000;8179.83;F;179.83;F;0;F;0;;;
